2010년, 절도 , 장물 , 사기 , 횡령 , 배임 , 손괴 , 살인 , 강도 , 방화 , 강간 , 폭행 , 상해 , 협박 , 공갈 , 약취와유인 , 체포와감금 , 폭력행위등(단체등의구성.활동) , 폭력행위등처벌에관한법률위반 , 통화 , 유가증권.인지.우표 , 문서 , 인장 , 직무유기 , 직권남용 , 수뢰 , 증뢰 , 간통 , 혼인빙자간음 , 기타음란행위 , 도박과복표 , 신앙 , 과실치사상 , 업무상과실치사상 , 실화 , 명예 , 권리행사방해 , 신용업무경매 , 주거침입 , 비밀침해 , 유기 , 낙태 , 아편 , 교통방해 , 공무방해 , 도주와범인은닉 , 위증과증거인멸 , 무고 , 공안을해하는죄 , 내란의죄 , 음용수에관한죄 , 일수와수리에관한죄 , 기타 , 가정폭력범죄의처벌등에관한특례법 , 개발제한구역의지정및관리에관한특별조치법 , 개항질서법위반 , 건설기계관리법위반 , 건설산업기본법위반 , 건축법위반 , 고용보험법위반 , 골재채취법위반 , 공업배치및공장설립에관한법률위반 , 공유수면관리법위반 , 공중위생관리법위반 , 공직선거법위반 , 관세법위반 , 교통사고처리특례법위반 , 국가기술자격법위반 , 국가보안법위반 , 국민연금법위반 , 근로기준법위반 , 낚시어선업법위반 , 내수면어업법위반 , 노동조합및노동관계조정법위반 , 농산물품질관리법위반 , 농수산물유통및가격안정에관한법률 , 농업협동조합법위반 , 농지법위반 , 담배사업법위반 , 대기환경보전법위반 , 대부업등의등록및금융이용자보호에관한법률 , 대외무역법위반 , 도로교통법위반 , 도로교통법위반(무면허운전) , 도로교통법위반(음주운전) , 도로교통법위반(음주측정거부) , 도로법위반 , 도시계획법위반 , 도시공원법위반 , 독점규제및공정거래에관한법률위반 , 디자인보호법위반 , 마약류관리에관한법률위반(대마) , 마약류관리에관한법률위반(마약) , 마약류관리에관한법률위반(향정) , 마약류불법거래방지에관한특례법위반 , 민사소송법위반 , 밀항단속법위반 , 방문판매등에관한법률위반 , 배타적경제수역의외국인어업등에관한법률 , 범죄수익은닉의규제및처벌등에관한법률 , 변호사법위반 , 병역법위반 , 보건범죄단속에관한특별조치법위반 , 부동산등기특별조치법위반 , 부동산실권리자명의등기에관한법률 , 부동산중개업법위반 , 부정경쟁방지및영업비밀보호에관한법률위반 , 부정수표단속법위반 , 사행행위등규제및처벌특례법위반 , 산림자원의조성및관리에관한법률위반 , 산업안전보건법위반 , 산업재해보상보험법위반 , 상법위반 , 상표법위반 , 석유사업법위반 , 선박안전법위반 , 선박직원법위반 , 선원법위반 , 성매매위반 , 소방기본법위반 , 소음.진동관리법위반 , 수도법위반 , 수산업법위반 , 수산자원관리법위반 , 수산자원보호령위반 , 수상레저안전법위반 , 수질환경보전법위반 , 식품위생법위반 , 신용정보의이용및보호에관한법률위반 , 실용신안법위반 , 액화석유가스의안전관리및사업법위반 , 약사법위반 , 여객자동차운수사업법위반 , 여권법위반 , 여신전문금융업법위반 , 오수.분뇨및축산폐수의처리에관한법률위반 , 옥외광고물등관리법위반 , 외국환거래법위반 , 유사수신행위의규제에관한법률위반 , 유선및도선사업법위반 , 유해화학물질관리법위반 , 윤락행위등방지법위반 , 음반.비디오물및게임물에관한법률위반 , 의료법위반 , 자동차관리법위반 , 자동차손해배상보장법위반 , 자연공원법위반 , 저작권법위반 , 전기사업법위반 , 전기통신기본법위반 , 전기통신사업법위반 , 전염병예방법위반 , 전투경찰대설치법위반 , 전파법위반 , 정보통신망이용촉진등에관한법률위반 , 정치자금법위반 , 조세범처벌법위반 , 조수보호및수렵에관한법률위반 , 주민등록법위반 , 주차장법위반 , 주택건설촉진법위반 , 증권거래법위반 , 지방세법위반 , 지하수법위반 , 직업안정법위반 , 집회및시위에관한법률위반 , 철도법위반 , 청소년보호법위반 , 청소년의성보호에관한법률위반 , 체육시설의설치.이용에관한법률위반 , 총포.도검.화약류등단속법위반 , 축산물가공처리법위반 , 출입국관리법위반 , 컴퓨터프로그램보호법위반 , 통신비밀보호법위반 , 특가법(도주차량) , 특허법위반 , 폐기물관리법위반 , 풍속영업의규제에관한법률위반 , 하천법위반 , 학교보건법위반 , 항만법위반 , 항만운송사업법위반 , 해양오염방지법위반 , 향토예비군설치법위반 , 화재보험위반 , 기타특별법 
구미,2713,16,1746,177,33,588,8,41,29,136,567,555,18,32,1,8,7,339,1,2,106,5,2, - ,2, - ,18, - ,4,116,2,4,21,4,84,19,109,51, - ,1,2, - ,3,101,6,7,17, - , - , - , - , - , - , - , - ,4, - ,7, - , - , - , - , - ,10,1,2083, - , - , - ,310, - ,1, - ,37, - ,7,1, - ,6,2,2,1423,536,4448,37,230, - , - , - , - , - , - ,9, - , - , - ,3, - , - ,1,115,2, - , - , - ,2,12,163,7,26, - , - ,14, - , - , - , - ,31, - , - , - , - , - , - , - , - ,9, - ,2, - ,11,11, - ,10, - , - ,6, - , - ,13, - ,1,12,349,332, - ,244, - , - ,1,9, - ,4,101, - ,18, - ,25, - , - , - , - , - ,5,1, - ,67,3,1,4, - ,12,4,2,212,2,9, - , - , - , - , - , - ,128, - ,650
천안,4596,23,2243,261,47,469,15,66,33,219,492,687,24,48, - ,8,14,491,65,9,159,10,7,6,8,3,26,2,11,152,2,11,31,34,90,29,91,53, - ,3,2, - ,8,150,4,26,26, - , - , - , - , - ,1, - , - ,3,3,88,13,1, - , - ,5,2, - ,1672,1, - , - ,500, - , - ,6,17, - ,2,11,2,23,24,1,773,422,3110,36,381, - , - , - , - ,6,2,7, - , - , - ,4, - , - ,3,108,3,2,5, - ,5,90,107,1,28, - , - ,19, - , - , - , - ,77, - ,1, - , - , - , - , - , - ,96,2,3,1,18,146, - ,45, - ,2,6,2, - ,4, - , - ,13,624,379, - ,164, - ,1, - , - , - ,3,186, - ,32, - ,16,1, - , - , - ,1,23,6, - ,112,6,2,4,5,26, - ,2,270,3,10, - , - , - , - , - , - ,165,2,900
여수,1121,6,1052,235,2432,307,7,22,8,110,878,373,19,32,2,5,6,282,12, - ,80,7,6,2,10,1,6, - ,4,57, - ,7,40,2,67,15,91,51, - ,3, - , - ,25,40,7,2,13, - , - , - , - , - ,1, - ,10,135,4,1, - , - , - ,2,4,49, - ,1060,1, - , - ,150,16, - ,9,28, - ,1, - , - ,5,6,43,612,389,2958,29,22, - , - , - , - ,1,10,1, - , - ,1, - , - , - ,3,54,2, - ,2, - , - ,4,12, - ,11,1,1,7, - ,19,57,25,18, - , - , - ,44,50,10,23, - ,43, - ,5, - ,17, - , - ,7, - ,2,1,1,70,1, - , - ,59,178,181,3,140, - ,3, - , - ,1, - ,110,2,14, - ,9, - , - , - , - , - ,12,1, - ,28,3,2,2, - ,4, - , - ,89,1,5, - , - , - ,2, - , - ,43,31,1206
춘천,1709,12,674,99,9,467,3,16,21,103,392,823,36,28,2,5,23,373,58,4,71,1,7,5,2,2,7, - ,5,159,2,15,19,4,91,9,52,53, - , - , - , - ,14,128,3,21,18, - , - , - , - , - ,1, - , - ,3,1,64,1, - , - ,1,2,13,1,1679,5, - , - ,107, - ,1,1,31, - , - ,2,2,2,4, - ,99,357,2315,20,150, - , - , - , - ,60, - ,17, - , - , - , - , - ,1, - ,41, - , - ,3,1, - ,33,1,8,6, - ,1,6, - , - , - , - ,9, - , - , - , - , - , - ,1, - ,19, - ,3, - ,5, - , - ,15, - , - ,1, - ,1,4, - ,1,5,77,138, - ,57, - , - , - , - , - ,4,56,2,5, - ,8, - , - , - , - , - ,1,1, - ,88,21, - ,1,2,5, - ,2,163,1,1,1,5, - , - , - , - ,37, - ,539
원주,2214,6,1123,146,18,676,6,31,13,133,1156,670,22,36,1,10,49,487,17,1,95, - ,3,7,2, - ,12,1,8,83,3,14,12,7,88,14,93,65, - ,1, - , - ,8,118, - ,23,15, - , - , - , - , - ,5, - , - ,2,9,48, - , - , - , - ,17,19, - ,2111,4,1, - ,194, - ,1, - ,18, - ,1,6,3,4,8, - ,274,188,1403,12,171, - , - , - , - ,6,2,7, - ,1, - ,1, - , - , - ,46,4,1,3, - ,2,90,1,4,35, - ,1,9, - , - , - , - ,16, - ,1, - , - , - , - , - , - ,38, - ,3, - ,7,6, - ,17, - ,22, - , - , - ,6, - ,1,2,92,94,3,50, - ,1,3, - , - ,3,124, - ,12, - ,10, - , - , - , - , - ,1,3, - ,82,6, - ,4,1,4, - ,1,128,2,1, - ,1, - , - , - , - ,60,49,598
평택,2505,28,1562,155,30,474,3,37,12,137,755,670,27,39,6,6,20,583,70,16,148,3,8,14,11,3,9, - ,6,112,2,15,32,95,59,27,190,41, - ,2, - , - ,6,147, - ,26,28,1, - , - , - , - , - , - , - ,3,4,53,1,2, - , - ,10,15,18,1721, - ,1, - ,438, - , - ,1,4, - , - ,9, - ,27,27, - ,345,479,2680,38,693, - , - , - ,1,23,24,39, - , - , - , - , - ,2,1,89,5,5,7, - ,2,72,10,8,15,3,2,34, - ,2,1, - ,65, - , - , - , - , - ,1, - ,2,60, - , - ,1,27, - , - ,28, - ,12,43, - , - ,9, - , - ,16,77,446, - ,122,1, - ,1, - , - ,3,102,2,28, - ,13, - , - , - , - , - ,4,3, - ,87,3, - ,3,1,34, - , - ,197,6,12, - , - , - ,1, - , - ,115, - ,836
경주,1745,9,1018,1914,39,318,7,16,18,118,337,412,17,29, - ,6,10,289,8,3,124,3,2,3,6,1,9, - ,1,84,1,9,26,11,41,13,83,33, - , - , - , - ,12,57,2,10,25, - , - ,1, - , - ,2, - , - ,8, - ,22, - ,9, - ,1, - ,13,1,2085,1, - , - ,230, - ,5,2,6, - ,5,22, - ,4,10, - ,221,257,1416,23,1118, - , - , - , - ,4,10,3, - , - , - ,1, - , - ,2,53,1,1,6, - ,2,12,13,9,29, - , - ,3, - , - ,2, - ,13, - , - , - ,2,8,13,1, - ,34, - , - , - ,6, - , - ,4, - ,1,1,1, - ,3, - , - ,2,86,331,16,107,11, - , - , - , - ,2,46, - ,20, - ,5, - , - , - , - ,2,7,5, - ,33,2, - ,7,3,44, - , - ,81,1,11, - ,1, - , - , - , - ,33, - ,336
김해,3715,60,4366,229,44,567,17,36,18,150,1233,673,36,58, - ,4,14,495, - ,4,136,1,2,2,7,3,24, - ,4,103,3,13,26,10,124,48,105,51, - ,3,1, - ,4,164,3,4,17, - , - , - , - , - , - ,14, - ,22,1,40, - , - , - ,2,3,14,3,1952,33, - ,1,587, - , - ,2,38, - ,3,24,12,17,14, - ,391,972,5303,48,1266, - , - , - ,2,13,3,46, - , - ,1,1, - , - ,5,58,3,3,6,2,1,158,1,1,29, - , - ,14, - , - , - , - ,13, - , - , - ,1, - ,2, - , - ,116, - ,6, - ,11,30, - ,14, - ,2, - ,1, - ,9, - ,3,45,358,267, - ,208, - ,1, - ,8, - ,1,105, - ,43, - ,9,3, - , - , - , - ,1, - , - ,113,2, - ,5,4,121, - ,1,109,4,12,2,1, - , - , - , - ,127, - ,830
순천,2218,11,1171,118,19,244,9,27,13,108,653,371,17,39,3,5,9,290,6,3,106,4,15,8,4,1,13, - ,5,70, - ,5,28,22,79,13,43,32, - ,2, - , - ,7,40,5,28,25, - , - , - , - , - ,1, - , - ,2,5,2, - , - , - ,2,6,37,1,1427, - , - , - ,78, - ,1,8,30, - ,1,2, - , - ,10, - ,523,267,2595,59,513, - , - , - ,1, - ,4,5, - , - , - , - , - , - ,3,38,6, - ,3, - ,2,22,119,6,7, - ,1,8, - , - , - , - ,47, - , - , - , - , - , - , - , - ,39,1,3, - ,6, - , - ,13, - ,1, - , - , - ,6, - , - ,14,113,215, - ,73, - , - ,1,1, - , - ,135,3,17, - ,12, - , - , - , - , - ,1, - , - ,32,3,1,4,3,4, - , - ,154, - ,1, - ,2, - , - , - , - ,80, - ,363
군포,872,5,612,76,10,232,3,15,3,106,674,202,15,23,1,2,12,127,11,3,53,2,1,1, - ,1,2, - ,3,53, - ,4,9,4,52,12,76,20, - ,1, - , - , - ,61, - ,1,9, - , - , - , - , - ,1,9, - , - ,6,8, - , - , - , - ,4,1, - ,577,1, - , - ,16, - , - ,2, - , - , - , - ,3,3, - , - ,40,102,513,3,207, - , - , - , - , - , - ,7, - , - , - ,1, - , - , - ,34,4, - ,2, - ,3,35,11,1, - , - ,2,14, - , - , - , - ,33, - , - , - , - , - , - , - , - ,40, - , - , - ,5, - , - ,20, - ,7, - , - , - , - , - ,10,7,31,9, - ,76,5, - , - ,2,1,1,53, - ,20, - ,9, - , - , - , - , - ,3, - , - ,42, - , - ,2, - ,6, - ,1,53, - , - , - , - , - , - , - , - ,44,15,213
