2010년, 절도 , 장물 , 사기 , 횡령 , 배임 , 손괴 , 살인 , 강도 , 방화 , 강간 , 폭행 , 상해 , 협박 , 공갈 , 약취와유인 , 체포와감금 , 폭력행위등(단체등의구성.활동) , 폭력행위등처벌에관한법률위반 , 통화 , 유가증권.인지.우표 , 문서 , 인장 , 직무유기 , 직권남용 , 수뢰 , 증뢰 , 간통 , 혼인빙자간음 , 기타음란행위 , 도박과복표 , 신앙 , 과실치사상 , 업무상과실치사상 , 실화 , 명예 , 권리행사방해 , 신용업무경매 , 주거침입 , 비밀침해 , 유기 , 낙태 , 아편 , 교통방해 , 공무방해 , 도주와범인은닉 , 위증과증거인멸 , 무고 , 공안을해하는죄 , 내란의죄 , 음용수에관한죄 , 일수와수리에관한죄 , 기타 , 가정폭력범죄의처벌등에관한특례법 , 개발제한구역의지정및관리에관한특별조치법 , 개항질서법위반 , 건설기계관리법위반 , 건설산업기본법위반 , 건축법위반 , 고용보험법위반 , 골재채취법위반 , 공업배치및공장설립에관한법률위반 , 공유수면관리법위반 , 공중위생관리법위반 , 공직선거법위반 , 관세법위반 , 교통사고처리특례법위반 , 국가기술자격법위반 , 국가보안법위반 , 국민연금법위반 , 근로기준법위반 , 낚시어선업법위반 , 내수면어업법위반 , 노동조합및노동관계조정법위반 , 농산물품질관리법위반 , 농수산물유통및가격안정에관한법률 , 농업협동조합법위반 , 농지법위반 , 담배사업법위반 , 대기환경보전법위반 , 대부업등의등록및금융이용자보호에관한법률 , 대외무역법위반 , 도로교통법위반 , 도로교통법위반(무면허운전) , 도로교통법위반(음주운전) , 도로교통법위반(음주측정거부) , 도로법위반 , 도시계획법위반 , 도시공원법위반 , 독점규제및공정거래에관한법률위반 , 디자인보호법위반 , 마약류관리에관한법률위반(대마) , 마약류관리에관한법률위반(마약) , 마약류관리에관한법률위반(향정) , 마약류불법거래방지에관한특례법위반 , 민사소송법위반 , 밀항단속법위반 , 방문판매등에관한법률위반 , 배타적경제수역의외국인어업등에관한법률 , 범죄수익은닉의규제및처벌등에관한법률 , 변호사법위반 , 병역법위반 , 보건범죄단속에관한특별조치법위반 , 부동산등기특별조치법위반 , 부동산실권리자명의등기에관한법률 , 부동산중개업법위반 , 부정경쟁방지및영업비밀보호에관한법률위반 , 부정수표단속법위반 , 사행행위등규제및처벌특례법위반 , 산림자원의조성및관리에관한법률위반 , 산업안전보건법위반 , 산업재해보상보험법위반 , 상법위반 , 상표법위반 , 석유사업법위반 , 선박안전법위반 , 선박직원법위반 , 선원법위반 , 성매매위반 , 소방기본법위반 , 소음.진동관리법위반 , 수도법위반 , 수산업법위반 , 수산자원관리법위반 , 수산자원보호령위반 , 수상레저안전법위반 , 수질환경보전법위반 , 식품위생법위반 , 신용정보의이용및보호에관한법률위반 , 실용신안법위반 , 액화석유가스의안전관리및사업법위반 , 약사법위반 , 여객자동차운수사업법위반 , 여권법위반 , 여신전문금융업법위반 , 오수.분뇨및축산폐수의처리에관한법률위반 , 옥외광고물등관리법위반 , 외국환거래법위반 , 유사수신행위의규제에관한법률위반 , 유선및도선사업법위반 , 유해화학물질관리법위반 , 윤락행위등방지법위반 , 음반.비디오물및게임물에관한법률위반 , 의료법위반 , 자동차관리법위반 , 자동차손해배상보장법위반 , 자연공원법위반 , 저작권법위반 , 전기사업법위반 , 전기통신기본법위반 , 전기통신사업법위반 , 전염병예방법위반 , 전투경찰대설치법위반 , 전파법위반 , 정보통신망이용촉진등에관한법률위반 , 정치자금법위반 , 조세범처벌법위반 , 조수보호및수렵에관한법률위반 , 주민등록법위반 , 주차장법위반 , 주택건설촉진법위반 , 증권거래법위반 , 지방세법위반 , 지하수법위반 , 직업안정법위반 , 집회및시위에관한법률위반 , 철도법위반 , 청소년보호법위반 , 청소년의성보호에관한법률위반 , 체육시설의설치.이용에관한법률위반 , 총포.도검.화약류등단속법위반 , 축산물가공처리법위반 , 출입국관리법위반 , 컴퓨터프로그램보호법위반 , 통신비밀보호법위반 , 특가법(도주차량) , 특허법위반 , 폐기물관리법위반 , 풍속영업의규제에관한법률위반 , 하천법위반 , 학교보건법위반 , 항만법위반 , 항만운송사업법위반 , 해양오염방지법위반 , 향토예비군설치법위반 , 화재보험위반 , 기타특별법 
남양주,1477,12,1077,144,29,419,10,17,24,115,949,404,20,30,1,7,7,393,55,3,119,5,3,1,5,1,11, - ,5,95,1,12,23,20,101,24,96,45, - ,1, - , - ,13,122,5,6,14, - , - , - , - , - ,2,285, - ,8,3,102, - ,4, - ,4,12,9,3,1685, - , - , - ,443, - , - , - ,4, - , - ,16,6,26,5,2,150,509,2236,25,270, - , - , - ,6,4,4,7, - , - , - ,7, - , - ,9,196,1,2,6, - ,5,38,45,4,18,1, - ,24, - , - , - , - ,14, - , - ,3, - , - , - , - , - ,299, - ,5,1,23,4,1,10, - ,19,8, - , - ,2, - ,2,17,73,118,4,85, - , - , - , - , - ,9,88, - ,26, - ,8, - , - ,1, - , - ,3, - , - ,120,3,2,4,1,22, - , - ,121, - ,10, - ,5, - , - , - , - ,196,74,607
강릉,1227,1,871,100,13,466,3,34,7,91,840,498,11,26, - ,4,5,299,41,2,62,2,2,3,3,1,9, - ,6,58,1,7,26,6,89,13,55,58, - ,1, - , - ,8,61,1,15,14, - , - ,1, - ,1,1, - ,9,2,4,20, - , - , - ,5,3,20, - ,1027, - , - , - ,151, - , - , - ,3, - , - ,2, - ,6,2, - ,253,205,1584,14,97, - , - , - , - ,6, - ,5, - , - , - , - , - , - , - ,24,1, - , - , - ,1,25, - ,3,20, - , - ,5, - ,3,3,1,13, - , - , - ,3,108,19,4, - ,19, - , - , - ,3, - , - ,6, - , - ,1,2, - ,15, - , - ,4,75,257,2,60, - ,2, - , - , - ,1,71,1,2, - ,6, - , - , - , - , - ,16, - , - ,76,1,3,3, - , - , - , - ,51, - ,6, - , - , - ,2,4, - ,41, - ,415
충주,1185,2,891,92,25,264,3,16,7,68,276,365,12,17, - ,4,4,170,17,2,78,1,2,1,1,1,11, - , - ,50,1,3,14,24,38,6,40,18, - , - ,2, - ,5,56, - ,13,14, - , - , - , - , - , - , - , - ,2, - ,22, - , - , - ,1,1,24,1,1054, - ,1, - ,51, - ,3, - , - , - ,2,9, - ,1,13, - ,124,534,1536,12,146, - , - , - , - ,4,1,19, - , - , - , - , - , - , - ,28,2,1,2, - , - ,42,56,7,10, - , - ,2, - , - , - , - ,5, - , - , - , - , - , - , - , - ,20, - , - ,2,9, - , - ,5, - , - , - , - , - ,1, - , - ,4,64,127, - ,58, - , - , - , - , - , - ,34,1,3, - ,7, - , - , - , - ,1,1, - , - ,30, - , - ,3, - ,2, - , - ,49,1,4, - , - , - , - , - , - ,10,21,185
안동,1156,3,705,78,7,181,2,11,3,54,316,365,20,22, - ,3,8,166,8,3,49,1,2, - ,2,2,13, - ,1,52,1,1,15,6,48,8,43,31, - ,2, - , - ,4,58,3,18,14, - , - , - , - , - ,1, - , - ,3,2,7, - ,1, - ,1,3,5, - ,1048, - ,1,1,82, - ,1, - ,10, - ,14,2, - ,2,4,1,182,329,763,14,91, - , - , - , - ,1,1,11, - , - , - ,1, - , - ,1,42,1, - ,1,1, - ,30,7,26,13, - , - ,4, - , - , - , - ,6, - , - , - , - , - ,2, - , - ,14, - , - ,1,3, - , - , - , - , - , - ,1, - , - , - , - ,7,71,116, - ,51, - ,2, - , - , - ,4,40, - ,10, - ,4, - , - , - , - , - ,4, - , - ,21,1, - ,4,2,3, - ,1,73, - , - , - , - , - , - , - , - ,11, - ,215
경산,1722,12,677,91,17,371,2,16,10,98,512,268,12,19, - ,4,7,214,10,5,55,3,2,1,2, - ,4, - ,5,51, - ,1,11,8,53,10,42,33, - , - , - , - , - ,67, - ,2,12, - , - , - , - , - , - , - , - ,5,1,17,8, - , - , - ,1,7,2,1028, - , - , - ,177, - , - ,2,8, - , - ,4, - ,6,6,2,97,349,1548,19,136, - , - , - , - , - ,1,18, - , - , - ,1, - , - ,1,49,2,1, - , - , - ,21,28, - ,19, - , - ,3, - , - , - , - ,8, - , - , - , - ,1, - , - , - ,30,1, - , - ,2, - , - ,11, - , - ,1, - , - ,1, - , - ,5,86,134,3,74,10,4, - , - , - , - ,49, - ,17, - ,7,1, - , - , - , - ,3, - , - ,18,1, - ,1,1,18, - , - ,69,4,6, - , - , - , - , - , - ,41, - ,287
아산,1664,5,872,138,18,137,5,12,10,52,107,320,20,9,1,2,8,170,45,6,71,1,1,1, - , - ,9, - ,6,45,2,4,17,2,48,15,42,15, - ,1, - , - ,4,34,1,1,13, - , - , - , - , - , - , - , - ,1,3,23, - , - , - , - ,1,6, - ,458, - , - , - ,183, - , - ,2,13, - ,1,7, - ,9,2, - ,15,161,1332,14,118, - , - , - , - ,2,7,2, - , - , - , - , - , - ,2,29, - ,2,2, - , - ,6,50,3,16, - , - ,6, - , - , - , - ,7, - , - , - , - , - , - ,1, - ,37, - ,6, - ,11,60, - ,5, - ,1,2,1, - ,5, - , - ,4,134,234, - ,87, - ,1, - , - , - ,2,40, - ,17, - ,9,1, - , - , - , - ,7,1, - ,38, - ,1,4, - ,12, - , - ,117, - ,9, - , - , - , - , - , - ,50,7,355
거제,1025,4,1146,89,15,130,8,19,13,48,117,416,13,10, - , - ,3,192, - ,2,59,2, - ,1,1, - ,10, - , - ,45,2,7,22,6,54,6,30,18, - , - , - , - ,5,57,6, - ,9, - , - , - , - , - , - , - ,12,2,1,14, - , - , - ,1,1,9, - ,1133, - , - , - ,49,9, - , - ,1, - ,1,4, - ,7,5, - ,494,277,2257,19,52, - , - , - , - , - , - ,25, - , - ,1, - , - , - ,1,41, - , - ,2,2, - ,9,119,1,9, - , - ,2,1,11,6,1,33, - ,1,1,44,20,22,6, - ,56,1,3, - ,7,5, - , - , - ,7,2,1,7, - , - , - ,11,75,85, - ,97, - , - ,2,1, - , - ,48, - ,5, - ,7, - , - , - , - , - ,1, - , - ,43,1, - , - , - ,17,1, - ,91, - ,9, - , - , - , - ,1, - ,103, - ,275
김천,664,3,330,35,7,109,4,3,3,39,159,175,6,6, - ,3, - ,107,1, - ,26,2, - , - ,3, - ,6, - ,3,27,1,7,7,2,15,6,39,13, - ,1, - , - ,2,38, - ,15,11, - , - , - , - , - , - , - , - ,1, - ,12, - , - , - , - ,3,11, - ,585, - , - , - ,58, - , - , - ,12, - ,4,1, - ,1, - ,1,275,226,752,9,83, - , - , - , - , - ,4,1, - , - , - , - , - , - , - ,11, - , - , - , - ,1,21,4,6,5, - , - ,3, - , - , - , - ,6, - , - , - , - , - , - , - , - ,24, - , - , - ,3, - , - ,4, - , - , - , - , - ,1, - , - ,2,48,112, - ,73, - , - , - , - ,1,1,29, - ,1, - ,4,1, - , - , - , - , - ,2, - ,18,3, - ,1, - ,3, - , - ,57, - ,2, - , - , - , - , - , - ,10, - ,163
정읍,481,1,509,48,9,92,4,3,6,33,188,162,11,6, - ,1,3,84,4, - ,47,2,4,1,4,1,3, - ,1,16,1,6,7,8,29,7,18,14,1, - , - , - ,1,21,1,15,17, - , - ,1, - , - , - , - , - ,3,1,6,1, - , - , - , - ,16, - ,625, - , - , - ,47, - , - ,1,7, - , - , - , - ,3,13, - ,127,88,479,12,79, - , - , - , - , - ,2, - , - , - , - , - , - , - ,1,28, - , - , - , - ,3,21,16,9,15, - , - ,2, - , - , - , - ,2, - , - , - ,1, - , - , - , - ,21, - ,3, - ,3, - , - ,3, - , - , - , - , - ,5, - , - ,1,31,57, - ,32, - , - , - ,2, - ,3,43, - ,6, - ,5, - , - , - ,1, - ,1,1, - ,18, - , - ,4,6,10, - , - ,41, - ,1, - , - , - , - , - , - ,18, - ,186
용인,2424,16,1609,261,56,502,10,37,10,189,959,597,26,20,2,10,15,438,55,10,204,1,4,9,10, - ,20, - ,21,96,2,9,33,8,107,35,122,46, - ,1, - , - ,16,152, - ,9,20,1, - , - , - , - , - , - , - ,5,3,55,1, - , - , - ,15,14,3,2325,2, - , - ,430, - ,1, - ,12, - , - ,8,4,19,4, - ,201,261,2278,31,453, - , - , - , - ,32,12,12, - , - , - ,4, - ,1,3,83, - ,2,15, - ,5,92,30,3,37,3,1,61, - , - , - , - ,19, - ,3, - , - , - , - , - , - ,95, - , - , - ,23,49, - ,19, - , - ,7,1, - ,5, - ,2,6,146,247, - ,169, - ,1, - , - ,1,6,240,1,21, - ,12,3, - , - , - , - ,6, - , - ,117,1,7,2,1,30, - , - ,239,1,25, - ,1, - , - , - , - ,90,89,530
시흥,1740,17,1709,242,34,485,9,68,6,146,1217,366,18,24,1,7,18,483,18,18,105, - ,1, - ,5,1,16, - ,16,122, - ,10,22,13,58,31,119,39, - ,1,1, - ,12,84,1,2,13, - , - , - , - , - , - ,267, - ,9,2,31, - , - , - ,569,17,16, - ,1915, - , - , - ,604, - ,1,2,6, - , - , - ,4,24,9,1,655,256,2173,21,1236, - , - , - ,2,9,5,20, - , - , - , - , - , - ,5,107,1, - ,3, - ,14,68,70,2,18, - , - ,20, - , - , - , - ,114, - ,2, - ,1,2, - , - , - ,83, - ,2, - ,13,78, - ,25, - ,1,8,1, - ,25, - ,2,15,500,96, - ,159, - , - , - ,5, - ,1,85,2,55, - ,15, - , - , - , - , - ,28,1, - ,74,5,1,4,1,55,1,1,244,3,26, - , - ,1, - , - , - ,105,50,777
파주,1122,34,1181,178,37,317,8,15,13,77,799,337,22,16, - ,2,26,280,35,5,109,2,2,2,5, - ,16, - ,6,88,8,6,28,4,70,22,120,39, - ,1, - , - ,10,100,1,6,27, - , - , - , - , - , - , - , - ,2,3,21,1,3, - , - ,4,6,2,1296, - , - , - ,278, - ,1, - ,15, - , - ,28,4,27,2, - ,102,473,2045,36,71, - , - , - ,3,4,6,8, - , - , - , - , - , - ,1,101,1,2,3, - ,3,108,5,39,18, - , - ,8,1, - , - , - ,53, - ,7, - , - , - , - , - , - ,47, - ,2, - ,10,10, - ,6, - ,12,3,1, - ,2, - , - ,12,42,140, - ,203,3, - , - , - , - ,3,113, - ,26, - ,6, - , - , - , - , - ,3,1, - ,55,2,2,5,1,41, - , - ,111,2,12, - ,2, - , - , - , - ,52,64,480
양산,1624,16,863,114,20,268,10,21,5,90,362,541,18,19,2,7,13,234, - ,6,58,3,1,2,4, - ,7, - ,1,53, - ,6,19,10,102,8,67,25, - , - , - , - ,5,85, - ,2,13, - , - , - , - , - , - ,7, - ,9,1,4,7, - , - , - ,4,16,10,1141,3, - , - ,61, - , - , - ,5, - , - ,5,1,5,7,3,375,211,1346,15,506, - , - , - ,3, - ,1,14, - , - , - ,1, - , - ,1,53,1,1, - ,1,1,72,11,1,5,1, - ,4, - , - , - , - ,10, - , - , - , - ,1, - , - , - ,42, - ,11, - ,8,6, - ,10, - , - ,1, - , - ,4, - , - ,16,126,77, - ,100, - , - , - ,4, - ,1,234, - ,11, - ,7, - , - , - , - , - ,2, - , - ,39,2, - ,3, - ,9,1, - ,57,3, - , - ,5, - , - ,8, - ,72,19,319
이천,797,3,580,101,24,198,4,20,21,55,432,202,9,12,1,7,7,182,2,6,68, - , - ,1,3,2,10, - ,3,42, - ,10,12,6,28,6,61,17, - , - , - , - ,2,55,1,1,2, - , - , - , - , - , - , - , - ,1,2,29, - ,5, - , - , - ,7, - ,709, - , - , - ,16, - , - , - ,3, - ,1,10, - ,18,14,2,260,188,1121,14,294, - , - , - , - ,3,63, - , - , - , - ,1, - , - ,1,45,1, - ,1,1,1,7,10,4, - , - ,2,3, - , - , - , - ,225, - , - , - , - , - , - , - , - ,12, - ,2, - ,8,104, - ,2, - ,3, - , - , - ,1, - , - ,5,34,88, - ,63, - ,1, - , - , - ,1,36, - ,11, - ,2, - , - , - , - , - , - , - , - ,44,3, - ,6,1,12, - , - ,70, - ,10, - , - , - , - , - , - ,44,13,337
구리,1130,11,844,94,12,273,3,27,9,102,687,257,14,30, - ,5,8,274,62,11,72,3,3, - , - , - ,8,1,3,47, - ,5,8,10,46,21,75,16, - , - , - , - ,2,65,3, - ,11, - , - , - , - , - , - ,94, - , - ,1,3, - , - , - , - ,7,10,2,587, - , - ,1,96, - , - ,2,1, - , - ,1, - ,6,10, - ,77,186,884,16,361, - , - , - ,3,6, - ,7, - , - , - ,1, - , - ,3,46,2,1, - , - ,2,38,41, - ,1, - ,1,21, - , - , - , - ,13, - ,1, - , - , - , - , - , - ,23, - ,1,1,6,5, - ,10, - ,1,1, - , - ,4, - ,1,16,46,47, - ,97, - , - , - , - , - ,1,54, - ,12, - ,6, - , - , - , - , - ,6, - , - ,80, - ,1, - ,5,14, - , - ,42,2,3, - ,1, - , - , - , - ,22,13,272
서산,748,3,536,55,18,157, - ,9,13,46,141,208,11,6, - ,3,2,122,18,3,50,4,2,1,2,1,9, - ,2,34,4,2,5,4,31,11,32,27, - , - ,1, - ,10,40,1,19,23, - , - , - , - , - , - , - ,1,13,2,16,4, - , - ,16,1,7, - ,614, - , - , - ,97,1,6,1,14, - , - ,2, - ,1,4, - ,84,193,1357,10,202, - , - , - , - ,6,5,6, - , - , - , - , - , - ,1,24, - , - ,2,2,1, - ,14,12,18, - , - ,1, - , - ,1, - ,20, - , - , - ,1,2,2,1, - ,22, - ,5,2,4,5, - ,8, - , - , - , - ,53,2, - , - ,1,44,166,1,46, - , - , - , - , - ,1,23, - ,8, - ,6, - , - , - , - , - ,3,1, - ,14,1, - ,4,1,7, - , - ,73, - ,2, - , - , - , - , - , - ,24, - ,292
제천,582,4,323,54,10,149,5,6,6,44,205,209,8,4, - ,4,4,142,4,1,40,3,1, - ,4, - ,2, - ,1,40, - ,2,8,9,32,6,18,13, - ,1, - , - ,3,27,4,6,16, - , - , - , - , - , - , - , - ,2,1,15, - ,3, - , - ,4,3, - ,1007, - , - , - ,72, - , - ,3,9, - ,1,2, - ,2,3, - ,113,94,439,11,365, - , - , - ,1,5,22,7, - , - , - , - , - , - ,2,24, - , - ,1, - , - ,24, - ,3,15, - ,1,7, - , - , - , - ,9, - , - , - , - , - , - ,1, - ,30, - , - , - ,3, - , - ,10, - , - ,2, - , - ,1, - , - ,5,34,169,4,40,1, - , - , - , - ,1,22, - ,9, - ,2,1, - , - , - , - , - , - , - ,42,1, - ,3,1,1, - , - ,47,1,3, - ,1,1, - , - , - ,6, - ,135
논산,825,3,383,41,15,73,6,18,6,29,52,169,2,4,1, - ,5,73,1,4,47, - ,2, - ,5, - , - , - ,1,32,1, - ,7,5,32,12,23,15, - ,2, - , - ,3,15,1,16,13, - , - , - , - , - , - , - , - ,3,2,24, - , - , - ,1, - ,5, - ,594, - ,1, - ,63, - ,3, - ,9, - , - ,2, - ,3,1, - ,72,202,811,11,180, - , - , - , - , - ,7, - , - , - , - , - , - , - , - ,71,1,1, - , - , - ,2,15,10,10, - , - ,3, - , - , - , - ,6, - , - , - , - , - , - , - , - ,25, - ,5, - ,1,2, - ,2, - , - , - , - , - , - , - , - ,1,127,171, - ,8, - , - ,1,1, - ,1,8,1,14, - ,1,1, - , - , - , - ,1, - , - ,38,3, - ,3,4,12, - , - ,34, - ,7, - , - , - , - , - , - ,17,19,195
기타도시,17395,174,13982,2351,3190,3576,107,205,136,1275,6549,5849,267,293,13,80,140,4348,206,72,1503,36,74,50,111,53,134,1,64,918,30,111,267,178,900,299,941,471,5,10,3, - ,184,986,32,112,291,4, - , - , - , - ,4,182,81,74,41,663,35,23, - ,502,114,289,70,17311,6,13,6,7013,50,14,42,423, - ,41,178,11,462,64,13,3964,6278,22399,282,7880, - , - , - ,33,170,149,244, - , - ,8,8,7,1,49,711,18,17,62,4,41,866,491,109,608,7,10,211,1,43,22,11,380, - ,30,5,1919,97,78,47,3,1128,3,77,14,185,275,4,112, - ,42,118,11,158,45, - ,2,109,3158,10972,39,1522,12,9,5,12,1,127,1662,16,286, - ,228,3, - ,5,1,1,30,5, - ,598,10,11,77,30,483,2,7,1233,37,219,6,24, - ,7,3,1,867,104,6750
도시이외,33561,292,23427,2934,3475,5080,172,379,315,1964,8435,7961,421,585,34,113,199,5005,490,71,2062,125,100,34,144,55,243,2,69,1900,107,199,511,433,1483,403,1155,673,6,14,4, - ,285,1247,38,225,294,3, - ,7,6, - ,17,51,93,134,67,710,23,25, - ,98,47,676,15,26329,37,16,5,2548,75,69,23,321, - ,94,189,14,215,115,8,6689,10280,38184,487,9270, - , - , - ,15,92,207,150,2,2,7,24,164, - ,43,1122,39,18,90,9,35,575,696,328,286,2,1,150,7,105,255,8,349, - ,4,19,2818,333,189,100,2,1159,4,106,16,113,113,1,166,1,29,39,31,291,62, - ,9,129,2876,6706,67,1502,8,12,2,19, - ,94,1197,15,275, - ,235,5, - ,1,1,6,64,22, - ,752,32,29,156,78,250,3,4,1774,20,164,5,61,2,10, - , - ,920,56,8518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
